event,start,end,data_valid,comment
int,timestamp_iso, timestamp_iso,int,string
1,2023-01-01T00:00:00,2023-05-08T09:00:00,0,experiment_start
2,2023-05-11T11:03:00,2023-05-11T11:13:00,0,cleaning
3,2023-05-15T07:24:00,2023-05-15T07:58:00,0,cleaning
4,2023-05-19T08:12:00,2023-05-19T08:48:00,0,cleaning
5,2023-05-24T09:32:00,2023-05-24T10:09:00,0,cleaning
6,2023-05-29T08:04:00,2023-05-29T08:44:00,0,cleaning
7,2023-06-01T08:03:00,2023-06-01T08:45:00,0,cleaning
8,2023-06-01T10:58:00,2023-06-01T11:06:00,0,pump_problem
9,2023-06-05T08:06:00,2023-06-05T09:27:00,0,cleaning
10,2023-06-08T09:06:00,2023-06-08T09:22:00,0,cleaning
11,2023-06-12T08:06:00,2023-06-12T08:28:00,0,cleaning
12,2023-06-13T13:50:00,2023-06-13T14:00:00,0,'stop flume to clean go-sys'
13,2023-06-15T13:06:00,2023-06-15T13:32:00,0,cleaning
14,2023-06-19T13:18:00,2023-06-19T13:40:00,0,cleaning
15,2023-06-26T09:24:00,2023-06-26T10:04:00,0,cleaning
16,2023-06-30T09:12:00,2023-06-30T10:16:00,0,'???'
17,2023-06-30T14:25:00,2023-06-30T14:38:00,0,cleaning
18,2023-07-04T10:52:00,2023-07-04T10:58:00,0,cleaning
19,2023-07-10T07:11:00,2023-07-10T07:33:00,0,cleaning
20,2023-07-13T13:06:00,2023-07-13T13:44:00,0,cleaning
21,2023-07-15T13:00:00,2023-07-17T11:00:00,0,'pump problem'
22,2023-07-17T10:45:00,2023-07-17T11:00:00,0,cleaning
23,2023-07-20T14:15:00,2023-07-20T14:35:00,0,cleaning
24,2023-07-25T08:14:00,2023-07-25T08:33:00,0,cleaning
25,2023-07-28T11:15:00,2023-07-28T11:36:00,0,cleaning
26,2023-08-07T08:20:00,2023-08-07T08:44:00,0,cleaning
27,2023-08-11T08:15:00,2023-08-11T08:28:00,0,cleaning
28,2023-08-12T13:44:00,2023-08-12T15:04:00,0,'pump problem'
29,2023-08-14T11:08:00,2023-08-14T11:26:00,0,cleaning
30,2023-08-17T15:05:00,2023-08-17T15:19:00,0,cleaning
31,2023-08-22T07:05:00,2023-08-22T07:30:00,0,cleaning
32,2023-08-25T06:34:00,2023-08-25T06:53:00,0,cleaning
33,2023-08-29T07:52:00,2023-08-31T10:22:00,0,'no air cleaning'
34,2023-08-31T10:22:00,2023-08-31T10:42:00,0,cleaning
35,2023-09-05T07:08:00,2023-09-05T07:25:00,0,cleaning
36,2023-09-06T13:30:00,2023-09-06T16:24:00,0,'pump problem'
37,2023-09-08T14:07:00,2023-09-08T14:31:00,0,cleaning
38,2023-09-13T11:04:00,2023-09-13T11:20:00,0,cleaning
39,2023-09-20T07:05:00,2023-09-20T07:24:00,0,cleaning
40,2023-09-25T15:10:00,2023-09-25T15:54:00,0,cleaning
41,2023-09-29T07:33:00,2023-09-29T08:09:00,0,cleaning
42,2023-10-02T12:35:00,2023-10-02T12:53:00,0,cleaning
43,2023-10-05T13:43:00,2023-10-05T14:18:00,0,cleaning
44,2023-10-10T09:30:00,2023-10-10T09:54:00,0,cleaning
45,2023-10-16T10:06:00,2023-10-16T10:23:00,0,cleaning
46,2023-10-20T10:04:00,2023-10-20T10:20:00,0,cleaning
47,2023-10-24T07:32:00,2023-10-24T07:54:00,0,cleaning
48,2023-10-26T07:43:00,2023-12-30T00:00:00,0,experiment_end
