index,timestamp_iso,lab_turbidity_ntu,lab_tss_mg_l,lab_doc_mg_l,lab_toc_mg_l,lab_nsol_mg_l,lab_ntot_mg_l,lab_nh4_mg_l,lab_po4_mg_l,lab_so4_mg_l,sampling_method
0,2023-05-08T09:00:00,136.0,,45.9,,52.4,,30.3,3.83,31.4,M
1,2023-05-08T11:00:00,120.0,,59.3,,31.7,,20.8,2.22,29.2,M
2,2023-05-08T13:00:00,112.5,,72.4,,30.4,,19.6,2.02,33.9,M
3,2023-05-08T15:00:00,116.5,,76.5,,31.1,,18.5,1.88,28.8,M
4,2023-05-09T08:00:00,102.6,,67.4,,58.6,,32.0,4.05,36.8,M
5,2023-05-09T10:00:00,128.0,,76.9,,41.3,,26.6,3.32,34.3,M
6,2023-05-09T12:00:00,144.0,,83.6,,28.7,,18.4,2.12,42.1,M
7,2023-05-09T14:00:00,115.5,,87.4,,32.6,,20.8,2.14,32.3,M
8,2023-05-09T16:00:00,110.0,,90.6,,29.3,,19.8,2.17,34.8,M
9,2023-05-10T07:00:00,42.35,,25.7,,19.8,,9.93,1.47,18.0,M
10,2023-05-10T09:00:00,99.95,,80.6,,41.4,,21.0,3.29,28.6,M
11,2023-05-10T11:00:00,155.0,,104.0,,26.5,,14.2,2.02,30.7,M
12,2023-05-10T13:00:00,91.5,,111.0,,25.2,,14.3,1.92,36.2,M
13,2023-05-10T15:00:00,96.2,,120.0,,28.1,,15.6,1.95,33.7,M
14,2023-05-11T07:00:00,54.4,,60.2,,38.5,,18.5,2.54,36.4,M
15,2023-05-11T09:00:00,105.0,,97.8,,53.5,,28.2,4.0,36.3,M
16,2023-05-11T11:00:00,130.5,,68.8,,32.0,,17.9,2.48,34.3,M
17,2023-05-11T13:00:00,100.35,,92.7,,25.7,,13.6,1.81,31.4,M
18,2023-05-11T15:00:00,113.5,,89.9,,15.2,,8.14,1.32,16.8,M
19,2023-05-12T07:00:00,48.5,,38.4,,38.2,,19.0,2.64,29.6,M
20,2023-05-12T09:00:00,114.0,,106.0,,39.5,,21.5,3.73,27.3,M
21,2023-05-12T11:00:00,87.15,,102.0,,25.0,,16.1,1.84,20.7,M
22,2023-05-12T13:00:00,92.95,,58.8,,26.8,,16.9,1.97,32.4,M
23,2023-05-12T15:00:00,111.0,,91.3,,27.2,,17.4,1.94,25.7,M
24,2023-05-12T17:00:00,144.0,,62.7,,28.3,,17.9,1.48,28.1,M
25,2023-05-15T07:00:00,46.0,,29.6,,24.8,,13.9,1.13,11.4,M
26,2023-05-15T09:00:00,118.0,,62.8,,49.3,,31.4,2.11,21.0,M
27,2023-05-15T11:00:00,81.3,,23.9,,11.0,,6.16,0.56,9.29,M
28,2023-05-15T14:00:00,82.30000000000001,,45.3,,18.1,,10.3,0.8,12.1,M
29,2023-05-15T16:00:00,74.65,,49.8,,24.6,,14.4,1.17,22.5,M
30,2023-05-16T07:00:00,35.55,,33.3,,38.1,,12.8,2.5,30.3,M
31,2023-05-16T08:00:00,72.9,,73.1,,47.1,,22.9,3.44,34.2,M
32,2023-05-16T09:00:00,105.0,,49.0,,54.5,,27.4,3.86,33.2,M
33,2023-05-16T10:00:00,119.0,,98.0,,37.1,,20.4,3.07,34.9,M
34,2023-05-16T12:00:00,111.0,,75.3,,22.1,,12.4,0.64,33.4,M
35,2023-05-17T07:00:00,32.2,,26.7,,30.4,,24.6,1.52,29.7,M
36,2023-05-17T09:00:00,96.85,,114.0,,36.9,,22.8,1.04,32.5,M
37,2023-05-17T11:00:00,75.5,,101.0,,19.1,,9.14,0.17,21.9,M
38,2023-05-17T13:00:00,107.5,,135.0,,17.4,,4.16,0.0,25.8,M
39,2023-05-17T15:00:00,115.5,,86.8,,23.2,,12.6,0.14,23.0,M
40,2023-05-18T07:00:00,38.150000000000006,,19.1,,26.8,,21.2,1.19,27.9,M
41,2023-05-18T08:00:00,33.45,,20.9,,32.4,,27.7,0.7,14.2,M
42,2023-05-18T09:00:00,63.0,,28.5,,42.8,,36.0,2.43,33.6,M
43,2023-05-18T10:00:00,100.1,,38.6,,48.9,,41.2,2.88,34.5,M
44,2023-05-18T11:00:00,125.0,,26.3,,45.2,,40.9,2.13,31.0,M
45,2023-05-19T07:00:00,28.75,,18.0,,29.9,,25.3,1.94,30.6,M
46,2023-05-19T08:00:00,54.85,,28.5,,44.6,,37.4,2.43,33.2,M
47,2023-05-19T09:00:00,130.5,,19.6,,47.4,,44.3,2.94,34.6,M
48,2023-05-19T10:00:00,120.5,,50.9,,48.8,,40.3,2.76,34.9,M
49,2023-05-19T11:00:00,125.5,,52.5,,43.5,,34.3,2.38,37.2,M
50,2023-05-29T07:00:00,39.3,,27.1,,33.4,,25.6,1.78,30.9,M
51,2023-05-29T08:00:00,55.2,,28.9,,33.9,,25.6,2.11,31.3,M
52,2023-05-29T09:00:00,124.0,,32.7,,43.3,,33.0,2.81,32.4,M
53,2023-05-29T10:00:00,159.0,,42.7,,52.4,,38.6,3.2,33.5,M
54,2023-05-29T11:00:00,187.0,,61.0,,58.4,,42.3,3.71,36.1,M
55,2023-05-29T12:00:00,180.0,,71.4,,50.9,,38.1,3.44,35.8,M
56,2023-05-29T13:00:00,162.5,,69.6,,42.4,,32.5,2.8,35.4,M
57,2023-05-29T14:00:00,148.0,,74.6,,38.2,,28.8,2.28,35.1,M
58,2023-05-29T15:00:00,141.0,,63.2,,30.8,,24.6,2.09,34.2,M
59,2023-05-29T16:00:00,136.5,,58.8,,27.7,,22.1,1.8,33.6,M
60,2023-05-30T08:00:00,107.0,,43.5,,62.4,,45.3,3.99,37.2,M
61,2023-05-30T10:00:00,144.0,,61.1,,51.1,,36.8,3.61,33.2,M
62,2023-05-30T12:00:00,149.0,,69.4,,33.3,,25.8,1.97,35.3,M
63,2023-05-30T14:00:00,136.5,,75.6,,35.7,,27.1,2.17,35.0,M
64,2023-05-30T16:00:00,141.0,,75.4,,30.7,,23.6,2.29,35.6,M
65,2023-05-31T07:00:00,92.75,,115.0,,42.6,,27.9,3.11,36.4,M
66,2023-05-31T08:00:00,129.5,,61.8,,68.5,,43.9,4.32,36.5,M
67,2023-05-31T09:00:00,144.0,,84.9,,59.3,,41.0,4.25,35.9,M
68,2023-05-31T10:00:00,160.5,,79.6,,49.8,,34.7,3.76,36.3,M
69,2023-05-31T11:00:00,187.0,,100.0,,36.1,,26.6,2.91,38.9,M
70,2023-05-31T12:00:00,170.5,,77.6,,31.4,,23.0,2.54,37.8,M
71,2023-05-31T13:00:00,188.5,,92.2,,30.4,,20.9,2.66,44.3,M
72,2023-05-31T14:00:00,208.0,,86.9,,34.7,,25.4,2.54,38.0,M
