index,date,weekend,holiday,school_holiday
0,2023-01-01,1,1,0
1,2023-01-02,0,1,0
2,2023-01-03,0,0,0
3,2023-01-04,0,0,0
4,2023-01-05,0,0,0
5,2023-01-06,0,0,0
6,2023-01-07,1,0,0
7,2023-01-08,1,0,0
8,2023-01-09,0,0,0
9,2023-01-10,0,0,0
10,2023-01-11,0,0,0
11,2023-01-12,0,0,0
12,2023-01-13,0,0,0
13,2023-01-14,1,0,0
14,2023-01-15,1,0,0
15,2023-01-16,0,0,0
16,2023-01-17,0,0,0
17,2023-01-18,0,0,0
18,2023-01-19,0,0,0
19,2023-01-20,0,0,0
20,2023-01-21,1,0,0
21,2023-01-22,1,0,0
22,2023-01-23,0,0,0
23,2023-01-24,0,0,0
24,2023-01-25,0,0,0
25,2023-01-26,0,0,0
26,2023-01-27,0,0,0
27,2023-01-28,1,0,0
28,2023-01-29,1,0,0
29,2023-01-30,0,0,0
30,2023-01-31,0,0,0
31,2023-02-01,0,0,0
32,2023-02-02,0,0,0
33,2023-02-03,0,0,0
34,2023-02-04,1,0,0
35,2023-02-05,1,0,0
36,2023-02-06,0,0,0
37,2023-02-07,0,0,0
38,2023-02-08,0,0,0
39,2023-02-09,0,0,0
40,2023-02-10,0,0,0
41,2023-02-11,1,0,0
42,2023-02-12,1,0,0
43,2023-02-13,0,0,0
44,2023-02-14,0,0,0
45,2023-02-15,0,0,0
46,2023-02-16,0,0,0
47,2023-02-17,0,0,0
48,2023-02-18,1,0,0
49,2023-02-19,1,0,0
50,2023-02-20,0,0,0
51,2023-02-21,0,0,0
52,2023-02-22,0,0,0
53,2023-02-23,0,0,0
54,2023-02-24,0,0,0
55,2023-02-25,1,0,0
56,2023-02-26,1,0,0
57,2023-02-27,0,0,0
58,2023-02-28,0,0,0
59,2023-03-01,0,0,0
60,2023-03-02,0,0,0
61,2023-03-03,0,0,0
62,2023-03-04,1,0,0
63,2023-03-05,1,0,0
64,2023-03-06,0,0,0
65,2023-03-07,0,0,0
66,2023-03-08,0,0,0
67,2023-03-09,0,0,0
68,2023-03-10,0,0,0
69,2023-03-11,1,0,0
70,2023-03-12,1,0,0
71,2023-03-13,0,0,0
72,2023-03-14,0,0,0
73,2023-03-15,0,0,0
74,2023-03-16,0,0,0
75,2023-03-17,0,0,0
76,2023-03-18,1,0,0
77,2023-03-19,1,0,0
78,2023-03-20,0,0,0
79,2023-03-21,0,0,0
80,2023-03-22,0,0,0
81,2023-03-23,0,0,0
82,2023-03-24,0,0,0
83,2023-03-25,1,0,0
84,2023-03-26,1,0,0
85,2023-03-27,0,0,0
86,2023-03-28,0,0,0
87,2023-03-29,0,0,0
88,2023-03-30,0,0,0
89,2023-03-31,0,0,0
90,2023-04-01,1,0,0
91,2023-04-02,1,0,0
92,2023-04-03,0,0,0
93,2023-04-04,0,0,0
94,2023-04-05,0,0,0
95,2023-04-06,0,0,0
96,2023-04-07,0,1,0
97,2023-04-08,1,0,0
98,2023-04-09,1,0,0
99,2023-04-10,0,1,0
100,2023-04-11,0,0,0
101,2023-04-12,0,0,0
102,2023-04-13,0,0,0
103,2023-04-14,0,0,0
104,2023-04-15,1,0,0
105,2023-04-16,1,0,0
106,2023-04-17,0,0,0
107,2023-04-18,0,0,0
108,2023-04-19,0,0,0
109,2023-04-20,0,0,0
110,2023-04-21,0,0,0
111,2023-04-22,1,0,1
112,2023-04-23,1,0,1
113,2023-04-24,0,0,1
114,2023-04-25,0,0,1
115,2023-04-26,0,0,1
116,2023-04-27,0,0,1
117,2023-04-28,0,0,1
118,2023-04-29,1,0,1
119,2023-04-30,1,0,1
120,2023-05-01,0,1,1
121,2023-05-02,0,0,1
122,2023-05-03,0,0,1
123,2023-05-04,0,0,1
124,2023-05-05,0,0,1
125,2023-05-06,1,0,1
126,2023-05-07,1,0,1
127,2023-05-08,0,0,0
128,2023-05-09,0,0,0
129,2023-05-10,0,0,0
130,2023-05-11,0,0,0
131,2023-05-12,0,0,0
132,2023-05-13,1,0,0
133,2023-05-14,1,0,0
134,2023-05-15,0,0,0
135,2023-05-16,0,0,0
136,2023-05-17,0,0,0
137,2023-05-18,0,1,0
138,2023-05-19,0,0,0
139,2023-05-20,1,0,0
140,2023-05-21,1,0,0
141,2023-05-22,0,0,0
142,2023-05-23,0,0,0
143,2023-05-24,0,0,0
144,2023-05-25,0,0,0
145,2023-05-26,0,0,0
146,2023-05-27,1,0,0
147,2023-05-28,1,0,0
148,2023-05-29,0,1,0
149,2023-05-30,0,0,0
150,2023-05-31,0,0,0
151,2023-06-01,0,0,0
152,2023-06-02,0,0,0
153,2023-06-03,1,0,0
154,2023-06-04,1,0,0
155,2023-06-05,0,0,0
156,2023-06-06,0,0,0
157,2023-06-07,0,0,0
158,2023-06-08,0,0,0
159,2023-06-09,0,0,0
160,2023-06-10,1,0,0
161,2023-06-11,1,0,0
162,2023-06-12,0,0,0
163,2023-06-13,0,0,0
164,2023-06-14,0,0,0
165,2023-06-15,0,0,0
166,2023-06-16,0,0,0
167,2023-06-17,1,0,0
168,2023-06-18,1,0,0
169,2023-06-19,0,0,0
170,2023-06-20,0,0,0
171,2023-06-21,0,0,0
172,2023-06-22,0,0,0
173,2023-06-23,0,0,0
174,2023-06-24,1,0,0
175,2023-06-25,1,0,0
176,2023-06-26,0,0,0
177,2023-06-27,0,0,0
178,2023-06-28,0,0,0
179,2023-06-29,0,0,0
180,2023-06-30,0,0,0
181,2023-07-01,1,0,0
182,2023-07-02,1,0,0
183,2023-07-03,0,0,0
184,2023-07-04,0,0,0
185,2023-07-05,0,0,0
186,2023-07-06,0,0,0
187,2023-07-07,0,0,0
188,2023-07-08,1,0,0
189,2023-07-09,1,0,0
190,2023-07-10,0,0,0
191,2023-07-11,0,0,0
192,2023-07-12,0,0,0
193,2023-07-13,0,0,0
194,2023-07-14,0,0,0
195,2023-07-15,1,0,1
196,2023-07-16,1,0,1
197,2023-07-17,0,0,1
198,2023-07-18,0,0,1
199,2023-07-19,0,0,1
200,2023-07-20,0,0,1
201,2023-07-21,0,0,1
202,2023-07-22,1,0,1
203,2023-07-23,1,0,1
204,2023-07-24,0,0,1
205,2023-07-25,0,0,1
206,2023-07-26,0,0,1
207,2023-07-27,0,0,1
208,2023-07-28,0,0,1
209,2023-07-29,1,0,1
210,2023-07-30,1,0,1
211,2023-07-31,0,0,1
212,2023-08-01,0,1,1
213,2023-08-02,0,0,1
214,2023-08-03,0,0,1
215,2023-08-04,0,0,1
216,2023-08-05,1,0,1
217,2023-08-06,1,0,1
218,2023-08-07,0,0,1
219,2023-08-08,0,0,1
220,2023-08-09,0,0,1
221,2023-08-10,0,0,1
222,2023-08-11,0,0,1
223,2023-08-12,1,0,1
224,2023-08-13,1,0,1
225,2023-08-14,0,0,1
226,2023-08-15,0,0,1
227,2023-08-16,0,0,1
228,2023-08-17,0,0,1
229,2023-08-18,0,0,1
230,2023-08-19,1,0,1
231,2023-08-20,1,0,1
232,2023-08-21,0,0,0
233,2023-08-22,0,0,0
234,2023-08-23,0,0,0
235,2023-08-24,0,0,0
236,2023-08-25,0,0,0
237,2023-08-26,1,0,0
238,2023-08-27,1,0,0
239,2023-08-28,0,0,0
240,2023-08-29,0,0,0
241,2023-08-30,0,0,0
242,2023-08-31,0,0,0
243,2023-09-01,0,0,0
244,2023-09-02,1,0,0
245,2023-09-03,1,0,0
246,2023-09-04,0,0,0
247,2023-09-05,0,0,0
248,2023-09-06,0,0,0
249,2023-09-07,0,0,0
250,2023-09-08,0,0,0
251,2023-09-09,1,0,0
252,2023-09-10,1,0,0
253,2023-09-11,0,1,0
254,2023-09-12,0,0,0
255,2023-09-13,0,0,0
256,2023-09-14,0,0,0
257,2023-09-15,0,0,0
258,2023-09-16,1,0,0
259,2023-09-17,1,1,0
260,2023-09-18,0,0,0
261,2023-09-19,0,0,0
262,2023-09-20,0,0,0
263,2023-09-21,0,0,0
264,2023-09-22,0,0,0
265,2023-09-23,1,0,0
266,2023-09-24,1,0,0
267,2023-09-25,0,0,0
268,2023-09-26,0,0,0
269,2023-09-27,0,0,0
270,2023-09-28,0,0,0
271,2023-09-29,0,0,0
272,2023-09-30,1,0,0
273,2023-10-01,1,0,0
274,2023-10-02,0,0,0
275,2023-10-03,0,0,0
276,2023-10-04,0,0,0
277,2023-10-05,0,0,0
278,2023-10-06,0,0,0
279,2023-10-07,1,0,1
280,2023-10-08,1,0,1
281,2023-10-09,0,0,1
282,2023-10-10,0,0,1
283,2023-10-11,0,0,1
284,2023-10-12,0,0,1
285,2023-10-13,0,0,1
286,2023-10-14,1,0,1
287,2023-10-15,1,0,1
288,2023-10-16,0,0,1
289,2023-10-17,0,0,1
290,2023-10-18,0,0,1
291,2023-10-19,0,0,1
292,2023-10-20,0,0,1
293,2023-10-21,1,0,1
294,2023-10-22,1,0,1
295,2023-10-23,0,0,0
296,2023-10-24,0,0,0
297,2023-10-25,0,0,0
298,2023-10-26,0,0,0
299,2023-10-27,0,0,0
300,2023-10-28,1,0,0
301,2023-10-29,1,0,0
302,2023-10-30,0,0,0
303,2023-10-31,0,0,0
304,2023-11-01,0,0,0
